Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,Year
Chiefs  Chiefs,21.5,80,1716,0,44,3,59,0,3,0,0,2008
Jaguars  Jaguars,22.7,74,1678,0,50,3,51,0,2,1,0,2008
Colts  Colts,20.8,63,1312,0,37,1,46,0,0,0,0,2008
Texans  Texans,21.5,72,1550,0,42,1,50,0,0,0,0,2008
Titans  Titans,25.4,52,1319,0,41,5,52,0,0,1,0,2008
Packers  Packers,20.1,69,1387,0,37,3,45,0,0,1,0,2008
Lions  Lions,21.8,83,1807,0,52,2,46,0,4,1,0,2008
Broncos  Broncos,21.8,71,1550,0,46,3,95,1,1,0,0,2008
Cowboys  Cowboys,22.2,70,1554,1,41,4,98T,0,2,0,0,2008
Browns  Browns,22.6,58,1312,1,36,4,92T,0,0,2,0,2008
Bengals  Bengals,23.1,67,1551,0,39,6,60,0,1,0,0,2008
Bears  Bears,24.9,77,1919,1,51,11,83T,0,2,1,1,2008
Panthers  Panthers,22.9,60,1372,0,37,4,59,0,0,0,1,2008
Bills  Bills,24.2,75,1816,1,43,7,98T,0,1,1,0,2008
Ravens  Ravens,20.1,50,1007,0,28,0,39,0,1,0,0,2008
Falcons  Falcons,23.9,59,1408,0,37,4,92,0,1,1,0,2008
Redskins  Redskins,21.7,65,1413,0,44,1,42,0,0,0,0,2009
Buccaneers  Buccaneers,26.3,62,1630,1,47,2,97T,2,0,2,2,2009
Seahawks  Seahawks,21.9,60,1316,0,37,4,46,0,2,1,0,2009
49ers  49ers,21.8,52,1135,0,32,4,76,1,2,1,1,2009
Chargers  Chargers,22.9,63,1442,0,38,5,66,0,0,0,0,2009
Steelers  Steelers,24.0,66,1581,0,44,4,83,2,1,1,0,2009
Cardinals  Cardinals,23.8,54,1284,1,40,2,99T,0,0,3,0,2009
Eagles  Eagles,20.5,58,1191,0,29,2,63,0,4,1,0,2009
Jets  Jets,24.4,44,1074,1,28,4,106T,0,0,0,1,2009
Giants  Giants,20.9,71,1482,0,38,2,68,0,3,0,4,2009
Saints  Saints,24.4,57,1393,1,38,5,97T,0,2,0,0,2009
Patriots  Patriots,22.7,54,1226,0,39,1,52,0,0,0,0,2009
Vikings  Vikings,23.2,56,1297,2,30,5,101T,1,1,0,1,2009
Dolphins  Dolphins,23.2,75,1739,2,45,4,101T,1,1,0,0,2009
Raiders  Raiders,18.2,66,1199,0,25,2,60,0,1,0,0,2009
Rams  Rams,23.2,76,1764,0,53,5,58,0,1,0,0,2009
Chiefs  Chiefs,21.6,77,1666,1,45,5,97T,0,3,0,0,2009
Jaguars  Jaguars,22.6,66,1492,0,44,5,43,0,1,0,0,2009
Colts  Colts,22.2,55,1219,1,30,1,93T,0,0,0,0,2009
Texans  Texans,22.6,64,1449,1,42,2,95T,0,0,0,0,2009
Titans  Titans,20.5,69,1417,0,37,1,56,0,1,0,1,2009
Packers  Packers,22.1,54,1193,0,34,2,54,2,2,1,0,2009
Lions  Lions,21.4,96,2050,0,52,4,87,0,2,2,0,2009
Broncos  Broncos,21.4,57,1217,1,33,2,93T,0,2,0,1,2009
Cowboys  Cowboys,22.0,47,1032,0,28,2,41,0,2,2,0,2009
Browns  Browns,24.2,69,1670,3,40,6,103T,1,1,1,2,2009
Bengals  Bengals,21.9,62,1356,1,30,2,96T,1,2,1,0,2009
Bears  Bears,25.0,80,1999,1,49,9,102T,0,2,0,2,2009
Panthers  Panthers,19.9,51,1015,0,26,1,55,0,0,1,0,2009
Bills  Bills,23.7,64,1517,0,38,3,71,1,3,1,0,2009
Ravens  Ravens,26.2,59,1547,1,39,7,95T,0,2,1,0,2009
