Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Lions  Lions,194,74,15,8,205,56.0,110,25.5,1037,2017
Broncos  Broncos,209,66,21,7,166,56.5,68,15.9,952,2017
Cowboys  Cowboys,210,90,13,4,181,48.8,96,23.8,1000,2017
Browns  Browns,224,91,10,5,189,52.5,95,20.3,1026,2017
Bengals  Bengals,241,98,19,9,173,51.5,111,22.7,1091,2017
Bears  Bears,219,86,11,6,180,52.5,85,19.7,1003,2017
Panthers  Panthers,206,78,20,7,187,53.3,69,19.5,953,2017
Bills  Bills,214,82,20,11,199,53.8,121,26.0,1066,2017
Ravens  Ravens,222,82,16,6,179,53.8,87,20.0,1045,2017
Falcons  Falcons,196,75,19,13,197,54.4,97,24.1,994,2017
Redskins  Redskins,196,86,13,5,197,54.4,109,26.4,996,2018
Buccaneers  Buccaneers,181,73,14,7,209,54.0,122,28.6,998,2018
Seahawks  Seahawks,183,64,13,6,201,56.6,91,24.9,955,2018
49ers  49ers,216,87,17,10,195,56.7,104,23.4,1023,2018
Chargers  Chargers,202,79,20,11,178,50.7,101,25.6,981,2018
Steelers  Steelers,197,72,13,7,200,55.2,84,22.8,987,2018
Cardinals  Cardinals,205,78,13,8,186,54.4,139,27.3,1065,2018
Eagles  Eagles,201,71,19,11,215,51.6,71,21.4,1002,2018
Jets  Jets,213,72,14,9,201,54.8,104,23.6,1061,2018
Giants  Giants,206,87,17,14,205,56.6,103,23.2,1034,2018
Saints  Saints,189,78,29,14,224,58.3,72,20.2,978,2018
Patriots  Patriots,197,76,16,6,208,56.2,93,25.3,1002,2018
Vikings  Vikings,190,58,19,9,160,50.8,107,24.3,993,2018
Dolphins  Dolphins,196,84,15,6,195,58.2,116,23.9,1024,2018
Raiders  Raiders,201,93,12,8,178,59.5,108,22.5,973,2018
Rams  Rams,188,70,15,9,185,53.3,101,26.2,960,2018
Chiefs  Chiefs,193,80,27,18,247,60.8,129,30.4,1109,2018
Jaguars  Jaguars,212,80,12,3,162,51.9,89,20.5,970,2018
Colts  Colts,200,82,15,7,203,52.9,87,21.0,995,2018
Texans  Texans,227,91,20,12,200,51.9,76,19.7,1022,2018
Titans  Titans,205,75,20,11,182,54.0,98,22.8,1001,2018
Packers  Packers,212,79,18,12,199,59.2,100,22.4,1017,2018
Lions  Lions,186,69,17,9,191,59.1,88,21.8,942,2018
